,anger,contempt,disgust,fear,sadness
2021-12-19 11:24:05.374536,0.004,0.07,0.309,0.0,0.0
2021-12-19 11:24:11.610789,0.004,0.07,0.309,0.0,0.0
2021-12-19 11:24:16.983773,0.004,0.07,0.331,0.0,0.0
2021-12-19 11:24:22.616582,0.004,0.07,0.331,0.0,0.0
2021-12-19 11:24:28.149465,0.004,0.07,0.331,0.0,0.0
2021-12-19 11:24:33.822161,0.004,0.07,0.331,0.0,0.0
2021-12-19 11:24:40.930930,0.004,0.07,0.331,0.0,0.0
2021-12-19 11:24:46.241420,0.004,0.07,0.331,0.0,0.0
2021-12-19 11:24:51.980812,0.004,0.07,0.331,0.0,0.0
2021-12-19 11:24:57.682146,0.004,0.07,0.331,0.0,0.0
2021-12-19 11:25:03.056986,0.004,0.07100000000000001,0.331,0.0,0.001
2021-12-19 11:25:08.765057,0.008,0.07100000000000001,0.331,0.001,0.001
2021-12-19 11:25:15.141363,0.009000000000000001,0.07200000000000001,0.333,0.001,0.286
